id,streaming_service,type,title,available_countries,listed_in,main_genre,release_year,imdb_rating,imdb_num_votes
e113518,Amazon Prime Video,TV Show,Are We There Yet?,,Comedy,Comedy,2010,5.5,1848
e113538,Amazon Prime Video,TV Show,,,"Documentary, Drama, Action & Adventure, Crime",Documentary,2010,,
e113542,Amazon Prime Video,TV Show,,,Comedy,Comedy,2008,,
e113545,Amazon Prime Video,TV Show,The Octonauts,,"Adventure, Animation, Comedy",Adventure,2010,7.6,1754
e113552,Amazon Prime Video,TV Show,Mad Dogs,,"Comedy, Crime, Drama",Comedy,2011,7.5,6038
e113555,Amazon Prime Video,TV Show,The Hive,,"Animation, Family",Animation,2010,6.4,173
e113556,Amazon Prime Video,TV Show,,,Documentary,Documentary,2010,,
e113564,Amazon Prime Video,TV Show,One Piece,,"Action, Adventure, Animation",Action,1999,9,286290
e113586,Amazon Prime Video,TV Show,,,Documentary,Documentary,2011,,
e113590,Amazon Prime Video,TV Show,Nightmare Next Door,,"Crime, Documentary",Crime,2011,7,1145
e113592,Amazon Prime Video,TV Show,,,Reality,Reality,2009,,
e113595,Amazon Prime Video,TV Show,Ninjago: Masters of Spinjitzu,,"Action, Adventure, Animation",Action,2011,7.8,9224
e113598,Amazon Prime Video,TV Show,,,Documentary,Documentary,2011,,
e113613,Amazon Prime Video,TV Show,,,Drama,Drama,2011,,
e113616,Amazon Prime Video,TV Show,,,Documentary,Documentary,1997,,
e113619,Amazon Prime Video,TV Show,The Firm,,"Action, Crime, Drama",Action,2012,7,6308
e113622,Amazon Prime Video,TV Show,Whitney,,Comedy,Comedy,2011,5.8,13127
e113629,Amazon Prime Video,TV Show,2 Broke Girls,,Comedy,Comedy,2011,6.7,109005
e113641,Amazon Prime Video,TV Show,Great Expectations,,Drama,Drama,1989,7.5,489
e113642,Amazon Prime Video,TV Show,,,Comedy,Comedy,1973,,
e113643,Amazon Prime Video,TV Show,,,Animation,Animation,,,
e113662,Amazon Prime Video,TV Show,,,Family,Family,1993,,
e113664,Amazon Prime Video,TV Show,,,"Action & Adventure, Drama",Action & Adventure,1965,,
e113668,Amazon Prime Video,TV Show,Hannibal,,"Crime, Drama, Horror",Crime,2013,8.5,289578
e113674,Amazon Prime Video,TV Show,,,Reality,Reality,2010,,
e113680,Amazon Prime Video,TV Show,,,Reality,Reality,,,
e113685,Amazon Prime Video,TV Show,Frankenstein,,"Drama, Horror, Sci-Fi",Drama,2004,6.2,1673
e113689,Amazon Prime Video,TV Show,World Without End,,"Drama, Romance, Thriller",Drama,2012,6.9,9298
e113691,Amazon Prime Video,TV Show,Curiosity,,Documentary,Documentary,2011,7.6,739
e113694,Amazon Prime Video,TV Show,MasterChef USA,,"Game-Show, Reality-TV",Game-Show,2010,7.2,10271
e113703,Amazon Prime Video,TV Show,The Bay,,"Drama, Romance",Drama,2010,7.5,4607
e113705,Amazon Prime Video,TV Show,,,Reality,Reality,2011,,
e113707,Amazon Prime Video,TV Show,,,Documentary,Documentary,2011,,
e113719,Amazon Prime Video,TV Show,,,Family,Family,1963,,
e113721,Amazon Prime Video,TV Show,,,"Comedy, Crime, Drama",Comedy,2000,,
e113726,Amazon Prime Video,TV Show,,,"Drama, Family",Drama,1967,,
e113743,Amazon Prime Video,TV Show,,,"Comedy, Drama, Mystery",Comedy,2005,,
e113750,Amazon Prime Video,TV Show,,,Comedy,Comedy,,,
e113758,Amazon Prime Video,TV Show,,,Documentary,Documentary,2011,,
e113761,Amazon Prime Video,TV Show,Top Chef,,"Game-Show, Reality-TV",Game-Show,2006,7.7,7161
e113776,Amazon Prime Video,TV Show,,,"Action & Adventure, Sci-Fi & Fantasy",Action & Adventure,1997,,
e113783,Amazon Prime Video,TV Show,,,Drama,Drama,,,
e113787,Amazon Prime Video,TV Show,,,Drama,Drama,,,
e113789,Amazon Prime Video,TV Show,American Guns,,Reality-TV,Reality-TV,2011,6.2,517
e113826,Amazon Prime Video,TV Show,The Tiger Brigades,,"Action, Crime, Thriller",Action,1974,7.9,415
e113828,Amazon Prime Video,TV Show,,,"Animation, Sci-Fi & Fantasy",Animation,1992,,
e113845,Amazon Prime Video,TV Show,,,Animation,Animation,,,
e113860,Amazon Prime Video,TV Show,Undercover,,"Action, Crime, Drama",Action,2011,8.9,28043
e113867,Amazon Prime Video,TV Show,,,Documentary,Documentary,2011,,
e113869,Amazon Prime Video,TV Show,,,Documentary,Documentary,2011,,
e113870,Amazon Prime Video,TV Show,,,Documentary,Documentary,2012,,
e113881,Amazon Prime Video,TV Show,Line of Duty,,"Crime, Drama, Mystery",Crime,2012,8.7,75109
e113886,Amazon Prime Video,TV Show,Public Enemies,,"Crime, Drama",Crime,2012,7,782
e113888,Amazon Prime Video,TV Show,Blackout,,"Action, Drama, Thriller",Action,2012,6.3,473
e113893,Amazon Prime Video,TV Show,,,Documentary,Documentary,2012,,
e113898,Amazon Prime Video,TV Show,,,"Animation, Family, Kids",Animation,2015,,
e113908,Amazon Prime Video,TV Show,The Passion,,Drama,Drama,1999,6,143
e113910,Amazon Prime Video,TV Show,,,"Comedy, Animation",Comedy,1997,,
e113916,Amazon Prime Video,TV Show,,,Drama,Drama,,,
e113921,Amazon Prime Video,TV Show,,,"Animation, Comedy",Animation,2006,,
e113935,Amazon Prime Video,TV Show,The Bridge,,"Crime, Mystery, Thriller",Crime,2011,8.6,80518
e113936,Amazon Prime Video,TV Show,Ghost,,"Mystery, Thriller",Mystery,2012,7.8,678
e113954,Amazon Prime Video,TV Show,,,"Animation, Comedy, Sci-Fi & Fantasy",Animation,2006,,
e113959,Amazon Prime Video,TV Show,,,"Sci-Fi & Fantasy, Comedy, Action & Adventure",Sci-Fi & Fantasy,2010,,
e113960,Amazon Prime Video,TV Show,,,Documentary,Documentary,2010,,
e113967,Amazon Prime Video,TV Show,The Moon Embracing the Sun,,"Drama, Fantasy, Romance",Drama,2012,7.9,3737
e113981,Amazon Prime Video,TV Show,JoJo's Bizarre Adventure,,"Action, Adventure, Animation",Action,2012,8.5,41401
e113993,Amazon Prime Video,TV Show,Only You,,"Comedy, Drama, Musical",Comedy,2013,6,150
e113998,Amazon Prime Video,TV Show,Masha and the Bear,,"Adventure, Animation, Comedy",Adventure,2007,7.3,4296
e114002,Amazon Prime Video,TV Show,Fairy Tail,,"Action, Adventure, Animation",Action,2009,7.9,30073
e114003,Amazon Prime Video,TV Show,Spartacus,,"Action, Adventure, Biography",Action,2010,8.5,265258
e114004,Amazon Prime Video,TV Show,Hunter x Hunter,,"Action, Adventure, Animation",Action,2011,9,158872
e114019,Amazon Prime Video,TV Show,Journey to the Center of the Earth,,"Adventure, Fantasy, Sci-Fi",Adventure,1999,5.6,2880
e114032,Amazon Prime Video,TV Show,Top of the Lake,,"Crime, Drama, Mystery",Crime,2013,7.4,38671
e114038,Amazon Prime Video,TV Show,,,Documentary,Documentary,2014,,
e114056,Amazon Prime Video,TV Show,The Originals,,"Drama, Fantasy, Horror",Drama,2013,8.2,153867
e114072,Amazon Prime Video,TV Show,The Bridge,,"Crime, Drama, Mystery",Crime,2013,7.6,20816
e114078,Amazon Prime Video,TV Show,The Tom and Jerry Show,,"Adventure, Animation, Comedy",Adventure,2011,7.2,4090
e114092,Amazon Prime Video,TV Show,Heirs,,"Comedy, Drama, Romance",Comedy,2013,7.5,14851
e114106,Amazon Prime Video,TV Show,Mom,,"Comedy, Drama, Romance",Comedy,2013,7.4,41110
e114119,Amazon Prime Video,TV Show,,,Documentary,Documentary,2012,,
e114120,Amazon Prime Video,TV Show,,,Documentary,Documentary,,,
e114127,Amazon Prime Video,TV Show,Secrets & Lies,,"Drama, Mystery, Thriller",Drama,2014,7.4,2477
e114130,Amazon Prime Video,TV Show,,,Documentary,Documentary,2013,,
e114134,Amazon Prime Video,TV Show,About a Boy,,"Comedy, Drama, Romance",Comedy,2014,7.4,8949
e114135,Amazon Prime Video,TV Show,,,Documentary,Documentary,2012,,
e114143,Amazon Prime Video,TV Show,,,Documentary,Documentary,2012,,
e114152,Amazon Prime Video,TV Show,,,Action & Adventure,Action,2012,,
e114177,Amazon Prime Video,TV Show,Hanna,,"Action, Drama",Action,2019,7.6,43840
e114193,Amazon Prime Video,TV Show,72 Hours,,Adventure,Adventure,2013,5.9,69
e114205,Amazon Prime Video,TV Show,Jesse James: Outlaw Garage,,Reality-TV,Reality-TV,2012,5.1,191
e114208,Amazon Prime Video,TV Show,Mashiny skazki,,"Animation, Family",Animation,2011,5.7,118
e114210,Amazon Prime Video,TV Show,,,Documentary,Documentary,2012,,
e114211,Amazon Prime Video,TV Show,,,"Crime, Drama, Mystery",Crime,2012,,
e114212,Amazon Prime Video,TV Show,,,Documentary,Documentary,2012,,
e114223,Amazon Prime Video,TV Show,,,Documentary,Documentary,2012,,
e114225,Amazon Prime Video,TV Show,,,Comedy,Comedy,2013,,
e114227,Amazon Prime Video,TV Show,,,Documentary,Documentary,2013,,
e114230,Amazon Prime Video,TV Show,,,Documentary,Documentary,2013,,
e114235,Amazon Prime Video,TV Show,,,Documentary,Documentary,2013,,
e114242,Amazon Prime Video,TV Show,,,Documentary,Documentary,1992,,
e114250,Amazon Prime Video,TV Show,Anthony Bourdain: Parts Unknown,,"Adventure, Documentary",Adventure,2013,8.9,7317
e114251,Amazon Prime Video,TV Show,The Tunnel,,"Crime, Drama, Mystery",Crime,2013,7.9,11180
e114254,Amazon Prime Video,TV Show,,,"Action & Adventure, Sci-Fi & Fantasy, Animation, Drama",Action & Adventure,1968,,
e114270,Amazon Prime Video,TV Show,,,Animation,Animation,2006,,
e114274,Amazon Prime Video,TV Show,The White Queen,,"Drama, History, Romance",Drama,2013,7.7,32652
e114276,Amazon Prime Video,TV Show,Doctor Who,,"Adventure, Drama, Sci-Fi",Adventure,2005,8.5,255556
e114283,Amazon Prime Video,TV Show,,,Reality,Reality,2013,,
e114297,Amazon Prime Video,TV Show,The Master's Sun,,"Comedy, Fantasy, Horror",Comedy,2013,8,5926
e114303,Amazon Prime Video,TV Show,MasterChef Junior,,"Family, Game-Show, Reality-TV",Family,2013,6.8,3155
e114309,Amazon Prime Video,TV Show,,,Animation,Animation,,,
e114324,Amazon Prime Video,TV Show,The Office,,Comedy,Comedy,2024,4.6,4499
e114326,Amazon Prime Video,TV Show,Dragon Ball Daima,,"Action, Adventure, Animation",Action,2024,7.9,14825
e114336,Amazon Prime Video,TV Show,Monkie Kid,,"Action, Adventure, Animation",Action,2020,7.3,1231
e114339,Amazon Prime Video,TV Show,Accused,,"Crime, Drama",Crime,2023,7,6187
e114340,Amazon Prime Video,TV Show,Assasination Classroom,,"Action, Animation, Comedy",Action,2013,7.9,23590
e114351,Amazon Prime Video,TV Show,,,"Animation, Comedy",Animation,2024,,
e114359,Amazon Prime Video,TV Show,From,,"Drama, Horror, Mystery",Drama,2022,7.8,137004
e114371,Amazon Prime Video,TV Show,,,Drama,Drama,2024,,
e114376,Amazon Prime Video,TV Show,Bad Education,,Comedy,Comedy,2012,7.3,14387
